timestep,wind_available_mw,curtailment_mw,power_optimized_mw,online_status,electricity_price,h2_produced_kg_h,h2_demand_kg_h,demand_slack_kg_h,demand_met,cost_eur,grid_import_mw,grid_export_mw,storage_level_kg,storage_charge_kg_h,storage_discharge_kg_h
3993,0.8682339669295187,0.0,50.868233966929516,1,35.857864376267926,1072.613106269369,2083.3333333333335,1010.7202270639646,False,3616.91945345982,50.0,0.0,0.0,0.0,-0.0
3994,0.0,0.0,50.0,1,32.67949192431092,1054.3054305430542,2083.3333333333335,1029.0279027902793,False,3267.9491924310923,50.0,0.0,0.0,0.0,-0.0
3995,0.2937060693687273,0.0,50.293706069368724,1,30.681483474218723,1060.4985486214323,2083.3333333333335,1022.8347847119012,False,3077.1596853354868,50.0,0.0,0.0,0.0,-0.0
3996,4.680664061557119,0.0,54.68066406155712,1,30.0,1153.0024213160018,2083.3333333333335,930.3309120173317,False,3140.419921846714,50.0,0.0,0.0,0.0,-0.0
3997,9.0619122805899,0.0,59.0619122805899,1,30.681483474218044,1245.3858971136688,2083.3333333333335,837.9474362196647,False,3346.181259303537,50.0,0.0,0.0,0.0,-0.0
3998,12.018296297879472,0.0,62.01829629787947,1,32.679491924311876,1307.7245315976506,2083.3333333333335,775.6088017356828,False,3660.7010092417268,50.0,0.0,0.0,0.0,-0.0
3999,15.118755243778459,0.0,65.11875524377845,1,35.85786437626929,1373.1011456743922,2083.3333333333335,710.2321876589413,False,4127.912712696347,49.99999999999999,0.0,0.0,0.0,-0.0
4000,15.044675397412975,0.0,65.04467539741297,1,39.99999999999946,1371.539089988054,2083.3333333333335,711.7942433452795,False,4601.787015896457,50.0,0.0,0.0,0.0,-0.0
4001,15.317536272057657,0.0,65.31753627205765,1,44.82361909794805,1377.2926640264661,2083.3333333333335,706.0406693068674,False,5168.94932117252,49.99999999999999,0.0,0.0,0.0,-0.0
4002,14.48452453827101,0.0,64.48452453827102,1,49.99999999999744,1359.7276881337195,2083.3333333333335,723.605645199614,False,5724.226226913259,50.00000000000001,0.0,0.0,0.0,-0.0
4003,11.915949072700217,0.0,61.915949072700215,1,55.176380902051406,1305.5664268915004,2083.3333333333335,777.766906441833,False,6175.117035049894,50.0,0.0,0.0,0.0,-0.0
4004,10.538975477351329,0.0,60.53897547735133,1,60.00000000000005,1276.531412105686,2083.3333333333335,806.8019212276474,False,6632.338528641085,50.0,0.0,0.0,0.0,-0.0
4005,8.762836084427118,0.0,58.76283608442712,1,64.14213562373031,1239.0795439584572,2083.3333333333335,844.2537893748763,False,6976.280582948873,50.0,0.0,0.0,0.0,-0.0
4006,3.220106401399094,0.0,53.22010640139909,1,67.32050807568784,1122.2049438614847,2083.3333333333335,961.1283894718488,False,6948.830006568745,50.0,0.0,0.0,0.0,-0.0
4007,1.525881525973491,0.0,51.52588152597349,1,69.31851652578064,1086.4803341270376,2083.3333333333335,996.8529992062959,False,7037.62349635264,50.0,0.0,0.0,0.0,-0.0
4008,0.028154752572056994,0.0,50.02815475257206,1,70.0,1054.8991047137006,2083.3333333333335,1028.434228619633,False,7001.970832680045,50.0,0.0,0.0,0.0,-0.0
4009,0.0,0.0,50.0,1,69.31851652578142,1054.3054305430542,2083.3333333333335,1029.0279027902793,False,6931.8516525781415,50.0,0.0,0.0,0.0,-0.0
4010,0.0,0.0,50.0,1,67.32050807568936,1054.3054305430542,2083.3333333333335,1029.0279027902793,False,6732.050807568936,50.0,0.0,0.0,0.0,-0.0
4011,0.0,0.0,50.0,1,64.14213562373247,1054.3054305430542,2083.3333333333335,1029.0279027902793,False,6414.213562373247,50.0,0.0,0.0,0.0,-0.0
4012,0.0,0.0,50.0,1,60.0000000000027,1054.3054305430542,2083.3333333333335,1029.0279027902793,False,6000.00000000027,50.0,0.0,0.0,0.0,-0.0
4013,0.0,0.0,50.0,1,55.176380902049964,1054.3054305430542,2083.3333333333335,1029.0279027902793,False,5517.638090204996,50.0,0.0,0.0,0.0,-0.0
4014,0.0,0.0,50.0,1,50.0000000000005,1054.3054305430542,2083.3333333333335,1029.0279027902793,False,5000.00000000005,50.0,0.0,0.0,0.0,-0.0
4015,0.0,0.0,50.0,1,44.823619097950996,1054.3054305430542,2083.3333333333335,1029.0279027902793,False,4482.3619097951,50.0,0.0,0.0,0.0,-0.0
4016,0.5818483299779297,0.0,50.58184832997793,1,39.99999999999817,1066.574347624017,2083.3333333333335,1016.7589857093164,False,4023.273933198933,50.0,0.0,0.0,0.0,-0.0
4017,2.69932266536624,0.0,52.69932266536624,1,35.85786437627145,1111.2236414407257,2083.3333333333335,972.1096918926078,False,3682.5783836696432,50.0,0.0,0.0,0.0,-0.0
4018,1.2043692719083792,0.0,51.20436927190838,1,32.67949192431114,1079.700891818098,2083.3333333333335,1003.6324415152355,False,3307.307368326332,50.0,0.0,0.0,0.0,-0.0
4019,1.5542786447249635,0.0,51.55427864472497,1,30.681483474218837,1087.0791188572668,2083.3333333333335,996.2542144760666,False,3115.835921974344,50.0,0.0,0.0,0.0,-0.0
4020,0.8690704528834838,0.0,50.869070452883484,1,30.0,1072.6307445030457,2083.3333333333335,1010.7025888302878,False,3026.072113586504,50.0,0.0,0.0,0.0,-0.0
4021,0.7637620989120724,0.0,50.763762098912075,1,30.68148347421911,1070.4102011135735,2083.3333333333335,1012.92313221976,False,3091.581701637917,50.0,0.0,0.0,0.0,-0.0
4022,0.45884942330659784,0.0,50.458849423306596,1,32.67949192430939,1063.9807793189282,2083.3333333333335,1019.3525540144053,False,3282.9441584543606,50.0,0.0,0.0,0.0,-0.0
4023,1.0410801602647308,0.0,51.041080160264734,1,35.857864376268985,1076.257759875009,2083.3333333333335,1007.0755734583245,False,3623.117348818496,50.0,0.0,0.0,0.0,-0.0
4024,2.513011427976833,0.0,52.513011427976835,1,39.99999999999908,1107.2950624537089,2083.3333333333335,976.0382708796246,False,4100.520457118979,50.0,0.0,0.0,0.0,-0.0
4025,6.2230358021561525,0.0,56.223035802156154,1,44.82361909794763,1185.525039356596,2083.3333333333335,897.8082939767376,False,4761.300896223502,50.0,0.0,0.0,0.0,-0.0
4026,9.900153822319385,0.0,59.90015382231938,1,50.000000000001556,1263.0611493047122,2083.3333333333335,820.2721840286213,False,5495.0076911161395,50.0,0.0,0.0,0.0,-0.0
4027,14.498414599057217,0.0,64.49841459905721,1,55.17638090205099,1360.0205754640685,2083.3333333333335,723.3127578692649,False,6317.6081365985365,50.0,0.0,0.0,0.0,-0.0
4028,19.485978974813857,0.0,69.48597897481386,1,59.99999999999968,1465.1888995949348,2083.3333333333335,618.1444337383987,False,7169.1587384887935,50.0,0.0,0.0,0.0,-0.0
4029,20.136278775729963,0.0,70.13627877572996,1,64.14213562373001,1478.901191826673,2083.3333333333335,604.4321415066604,False,7705.797486563109,50.0,0.0,0.0,0.0,-0.0
4030,22.89424807503391,0.0,72.89424807503391,1,67.32050807568763,1537.0560320172167,2083.3333333333335,546.2773013161168,False,8273.30321999088,50.0,0.0,0.0,0.0,-0.0
4031,26.852421453193518,0.0,76.85242145319351,1,69.31851652578169,1620.518505769709,2083.3333333333335,462.8148275636245,False,8793.22167283862,50.0,0.0,0.0,0.0,-0.0
4032,33.9063065909331,0.0,83.9063065909331,1,70.0,1769.2574939126246,2083.3333333333335,314.0758394207089,False,9373.441461365317,50.0,0.0,0.0,0.0,-0.0
4033,39.37468098939674,0.0,89.37468098939674,1,69.31851652578153,1884.5642304034811,2083.3333333333335,198.76910292985235,False,9661.246127439026,50.0,0.0,0.0,0.0,-0.0
4034,40.72079404470816,0.0,90.72079404470816,1,67.32050807568959,1912.9485164902758,2083.3333333333335,170.3848168430577,False,9473.395351904226,50.0,0.0,0.0,0.0,-0.0
4035,36.69329731808921,0.0,86.69329731808921,1,64.14213562373277,1828.024283082901,2083.3333333333335,255.3090502504324,False,8767.800015432105,50.0,0.0,0.0,0.0,-0.0
4036,38.13614573924153,0.0,88.13614573924153,1,59.99999999999913,1858.4483416003284,2083.3333333333335,224.8849917330051,False,8288.168744354372,50.0,0.0,0.0,0.0,-0.0
4037,45.84766940067137,0.0,95.84766940067138,1,55.17638090205038,2021.0543670804634,2083.3333333333335,62.27896625287008,False,8047.346560527762,50.00000000000001,0.0,0.0,0.0,-0.0
